version                 name                    version_id              code_name                               life            release         support         long_term       rhel            kerne                       note                        wallpaper                                                                               create_flag sort_flag   
debian-1.1              Debian                  1.1                     Buzz                                    EOL             1996-06-17      -               -               -               -                           -                           -                                                                                       -           0           
debian-1.2              Debian                  1.2                     Rex                                     EOL             1996-12-12      -               -               -               -                           -                           -                                                                                       -           0           
debian-1.3              Debian                  1.3                     Bo                                      EOL             1997-07-02      -               -               -               -                           -                           -                                                                                       -           0           
debian-2.0              Debian                  2.0                     Hamm                                    EOL             1998-07-24      -               -               -               -                           -                           -                                                                                       -           0           
debian-2.1              Debian                  2.1                     Slink                                   EOL             1999-03-09      2000-09-30      -               -               -                           -                           -                                                                                       -           0           
debian-2.2              Debian                  2.2                     Potato                                  EOL             2000-08-15      2003-06-30      -               -               -                           -                           -                                                                                       -           0           
debian-3.0              Debian                  3.0                     Woody                                   EOL             2002-07-19      2006-06-30      -               -               -                           -                           -                                                                                       -           0           
debian-3.1              Debian                  3.1                     Sarge                                   EOL             2005-06-06      2008-03-31      -               -               -                           -                           -                                                                                       -           0           
debian-4.0              Debian                  4.0                     Etch                                    EOL             2007-04-08      2010-02-15      -               -               -                           -                           -                                                                                       -           0           
debian-5.0              Debian                  5.0                     Lenny                                   EOL             2009-02-14      2012-02-06      -               -               -                           -                           -                                                                                       -           0           
debian-6.0              Debian                  6.0                     Squeeze                                 EOL             2011-02-06      2014-05-31      2016-02-29      -               -                           -                           /usr/share/desktop-base/spacefun-theme/grub/grub-16x9.png                               -           0           
debian-7.0              Debian                  7.0                     Wheezy                                  EOL             2013-05-04      2016-04-25      2018-05-31      -               -                           -                           /usr/share/desktop-base/joy-theme/grub/grub-16x9.png                                    -           0           
debian-8.0              Debian                  8.0                     Jessie                                  EOL             2015-04-25      2018-06-17      2020-06-30      -               -                           -                           /usr/share/desktop-base/lines-theme/grub/grub-16x9.png                                  -           0           
debian-9.0              Debian                  9.0                     Stretch                                 ELTS            2017-06-17      2020-07-18      2022-07-01      -               -                           -                           /usr/share/desktop-base/softwaves-theme/grub/grub-16x9.png                              -           0           
debian-10.0             Debian                  10.0                    Buster                                  ELTS            2019-07-06      2022-09-10      2024-06-30      -               -                           oldoldoldstable             /usr/share/desktop-base/futureprototype-theme/grub/grub-16x9.png                        -           0           
debian-11.0             Debian                  11.0                    Bullseye                                LTS             2021-08-14      2024-08-14      2026-08-31      -               5.10                        oldoldstable                /usr/share/desktop-base/homeworld-theme/grub/grub-16x9.png                              -           0           
debian-12.0             Debian                  12.0                    Bookworm                                LTS             2023-06-10      2026-07-12      2028-06-30      -               6.1                         oldstable                   /usr/share/desktop-base/emerald-theme/grub/grub-16x9.png                                -           0           
debian-13.0             Debian                  13.0                    Trixie                                  -               2025-08-09      2028-08-09      2030-06-30      -               6.12                        stable                      /usr/share/desktop-base/ceratopsian-theme/grub/grub-16x9.png                            -           0           
debian-14.0             Debian                  14.0                    Forky                                   -               2027-xx-xx      20xx-xx-xx      20xx-xx-xx      -               -                           testing                     -                                                                                       -           0           
debian-15.0             Debian                  15.0                    Duke                                    -               2029-xx-xx      20xx-xx-xx      20xx-xx-xx      -               -                           -                           -                                                                                       -           0           
debian-testing          Debian                  testing                 Testing                                 -               20xx-xx-xx      20xx-xx-xx      20xx-xx-xx      -               -                           testing                     -                                                                                       -           1           
debian-sid              Debian                  sid                     SID                                     -               20xx-xx-xx      20xx-xx-xx      20xx-xx-xx      -               -                           sid                         -                                                                                       -           2           
ubuntu-4.10             Ubuntu                  4.10                    Warty%20Warthog                         EOL             2004-10-20      2006-04-30      -               -               2.6.8                       -                           -                                                                                       -           0           
ubuntu-5.04             Ubuntu                  5.04                    Hoary%20Hedgehog                        EOL             2005-04-08      2006-10-31      -               -               2.6.10                      -                           -                                                                                       -           0           
