Loading repository data...
Reading installed packages...

S  | Name                                       | Summary                                                                                                                                                                                                                                | Type
---+--------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------
i  | aaa_base                                   | openSUSE Base Package                                                                                                                                                                                                                  | package
i  | aaa_base-extras                            | SUSE Linux Base Package (recommended part)                                                                                                                                                                                             | package
i  | acl                                        | Commands for Manipulating POSIX Access Control Lists                                                                                                                                                                                   | package
i  | adobe-sourcecodepro-fonts                  | A set of OpenType fonts designed for coding environments                                                                                                                                                                               | package
i  | adwaita-fonts                              | Adwaita Fonts                                                                                                                                                                                                                          | package
i  | adwaita-icon-theme                         | GNOME Icon Theme                                                                                                                                                                                                                       | package
i+ | agama-scripts                              | Agama support for running user-defined scripts                                                                                                                                                                                         | package
i  | alts                                       | Helper for executing preferred application based on user preferences                                                                                                                                                                   | package
i+ | apache2                                    | The Apache HTTPD Server                                                                                                                                                                                                                | package
i  | apache2-prefork                            | The Apache HTTPD Server                                                                                                                                                                                                                | package
i  | apache2-utils                              | The Apache HTTPD Server                                                                                                                                                                                                                | package
i  | attr                                       | Commands for Manipulating Extended Attributes                                                                                                                                                                                          | package
i  | audit                                      | User Space Tools for Kernel Auditing                                                                                                                                                                                                   | package
i  | audit-rules                                | Rules and utilities for audit                                                                                                                                                                                                          | package
i  | augeas-lenses                              | Official set of lenses for use by libaugeas                                                                                                                                                                                            | package
i+ | base                                       | Base System                                                                                                                                                                                                                            | pattern
i  | bash                                       | The GNU Bourne-Again Shell                                                                                                                                                                                                             | package
i+ | bash-completion                            | Programmable Completion for Bash                                                                                                                                                                                                       | package
i  | bash-lang                                  | Translations for package bash                                                                                                                                                                                                          | package
i  | bash-sh                                    | Handle behaviour of /bin/sh                                                                                                                                                                                                            | package
i+ | bc                                         | GNU Command Line Calculator                                                                                                                                                                                                            | package
i+ | bind-utils                                 | Libraries for "bind" and utilities to query and test DNS                                                                                                                                                                               | package
i  | boost-license1_86_0                        | Boost License                                                                                                                                                                                                                          | package
i  | branding-openSUSE                          | openSUSE Leap 16.0 Brand File                                                                                                                                                                                                          | package
i  | btrfsmaintenance                           | Scripts for btrfs periodic maintenance tasks                                                                                                                                                                                           | package
i+ | btrfsprogs                                 | Utilities for the Btrfs filesystem                                                                                                                                                                                                     | package
i  | btrfsprogs-bash-completion                 | Bash completion for btrfsprogs                                                                                                                                                                                                         | package
i  | btrfsprogs-udev-rules                      | Udev rules for configuring btrfs file systems                                                                                                                                                                                          | package
i  | bzip2                                      | A Program for Compressing Files                                                                                                                                                                                                        | package
i  | ca-certificates                            | Utilities for system wide CA certificate installation                                                                                                                                                                                  | package
i  | ca-certificates-mozilla                    | CA certificates for OpenSSL                                                                                                                                                                                                            | package
i  | cantarell-fonts                            | Contemporary Humanist Sans Serif Font                                                                                                                                                                                                  | package
i  | cepces                                     | Certificate Enrollment through CEP/CES                                                                                                                                                                                                 | package
i  | cepces-certmonger                          | certmonger integration for cepces                                                                                                                                                                                                      | package
i  | cepces-selinux                             | SELinux support for cepces                                                                                                                                                                                                             | package
i  | certmonger                                 | Certificate status monitor and PKI enrollment client                                                                                                                                                                                   | package
i  | checkpolicy                                | SELinux policy compiler                                                                                                                                                                                                                | package
i  | chrony                                     | System Clock Synchronization Client and Server                                                                                                                                                                                         | package
i  | chrony-pool-openSUSE                       | Chrony preconfiguration for openSUSE                                                                                                                                                                                                   | package
i+ | cifs-utils                                 | Utilities for doing and managing mounts of the Linux CIFS filesystem                                                                                                                                                                   | package
i+ | clamav                                     | Antivirus Toolkit                                                                                                                                                                                                                      | package
i  | cnf                                        | A command-not-found handler for openSUSE                                                                                                                                                                                               | package
i  | cnf-bash                                   | Integration of cnf with bash                                                                                                                                                                                                           | package
i  | cnf-locale                                 | Locale support for cnf                                                                                                                                                                                                                 | package
i  | compat-usrmerge-tools                      | UsrMerge tools                                                                                                                                                                                                                         | package
i  | container-selinux                          | SELinux policies for container runtimes                                                                                                                                                                                                | package
i  | coreutils                                  | GNU Core Utilities                                                                                                                                                                                                                     | package
i  | coreutils-lang                             | Translations for package coreutils                                                                                                                                                                                                     | package
i  | coreutils-systemd                          | GNU Core Utilities                                                                                                                                                                                                                     | package
i  | cpio                                       | A Backup and Archiving Utility                                                                                                                                                                                                         | package
i  | cpio-lang                                  | Translations for package cpio                                                                                                                                                                                                          | package
i  | cpio-mt                                    | Tape drive control utility                                                                                                                                                                                                             | package
