enabled media_type          architecture        search_url                                                                                                                                                      exclude_url                                                 target_url                                                                                                                                                      time_stamp                                                  file_size           check_date                                                  status              reason                                                      mime                                                        contents                                                                                                                        
o       mini.iso            amd64               https://deb.debian.org/debian/dists/[a-z]+/main/installer-:_ARCH_:/current/images/netboot/mini.iso                                                              (oldold|old|)?stable,unstable,sid,experimental              -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       mini.iso            amd64               https://d-i.debian.org/daily-images/:_ARCH_:/daily/netboot/mini.iso                                                                                             -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst             amd64               https://cdimage.debian.org/cdimage/archive/latest-(oldoldstable|oldstable)/:_ARCH_:/iso-cd/debian-[0-9A-Za-z.]+-:_ARCH_:-netinst.iso                            -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       dvd                 amd64               https://cdimage.debian.org/cdimage/archive/latest-(oldoldstable|oldstable)/:_ARCH_:/iso-dvd/debian-[0-9A-Za-z.]+-:_ARCH_:-DVD-1.iso                             -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       live                amd64               https://cdimage.debian.org/cdimage/archive/latest-(oldoldstable|oldstable)-live/amd64/iso-hybrid/debian-live-[0-9A-Za-z.]+-amd64-[A-Za-z]+.iso                  -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst             amd64               https://cdimage.debian.org/cdimage/release/current/:_ARCH_:/iso-cd/debian-[0-9A-Za-z.]+-:_ARCH_:-netinst.iso                                                    -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       dvd                 amd64               https://cdimage.debian.org/cdimage/release/current/:_ARCH_:/iso-dvd/debian-[0-9A-Za-z.]+-:_ARCH_:-DVD-1.iso                                                     -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       live                amd64               https://cdimage.debian.org/cdimage/release/current-live/:_ARCH_:/iso-hybrid/debian-live-[0-9A-Za-z.]+-:_ARCH_:-[A-Za-z]+.iso                                    -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst             amd64               https://cdimage.debian.org/cdimage/daily-builds/daily/current/:_ARCH_:/iso-cd/debian-testing-:_ARCH_:-netinst.iso                                               -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst             amd64               https://cdimage.debian.org/cdimage/daily-builds/daily/arch-latest/:_ARCH_:/iso-cd/debian-testing-:_ARCH_:-netinst.iso                                           -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
